INSTNM	LOCALE	LATITUDE	LONGITUDE
College of San Mateo	21	37.5344	-122.3361
Santa Barbara Business College-Bakersfield	11	35.3595	-119.0613
Westwood College-Los Angeles	11	34.0614	-118.2933
Santa Barbara Business College-Santa Maria	13	34.4039	-119.6997
Santa Barbara City College	13	34.4068	-119.698
Santa Clara University	12	37.3527	-121.9382
Santa Monica College	13	34.019	-118.4704
Santa Rosa Junior College	12	38.4542	-122.7207
Saybrook University	11	37.7984	-122.4001
Scripps College	21	34.1037	-117.7113
Wyotech-Fremont	21	37.4693	-121.9194
College of the Sequoias	12	36.323	-119.3148
Shasta Bible College and Graduate School	13	40.5642	-122.3157
Shasta College	22	40.6257	-122.318
Sierra College	21	38.7928	-121.2126
Sierra College of Beauty	13	37.3066	-120.4957
Sierra Valley College of Court Reporting	11	36.8028	-119.773
Trinity Law School	11	33.7661	-117.8521
Simpson University	13	40.6133	-122.333
College of the Siskiyous	33	41.4138	-122.3892
Charles A Jones Career and Education Center	11	38.5165	-121.4411
Skyline College	21	37.6305	-122.466
San Bernardino Valley College	12	34.0887	-117.3138
Saint Mary's College of California	41	37.84	-122.1068
Solano Community College	22	38.2355	-122.1202
Sonoma State University	21	38.341	-122.6733
Pinnacle College	21	34.0815	-118.1505
South Baylo University	11	33.8479	-117.9587
South Coast College	12	33.7879	-117.8741
Vanguard University of Southern California	12	33.6627	-117.9009
Concorde Career College-Garden Grove	21	33.7747	-117.9384
Southwestern College	21	32.6416	-116.9972
Starr King School for Ministry	12	37.8769	-122.2618
Marshall B Ketchum University	21	33.8898	-117.8862
Southern California Institute of Architecture	11	34.0437	-118.2327
University of Southern California	11	34.0211	-118.2839
Southwestern Law School	11	34.0616	-118.2884
Taft College	32	35.1489	-119.4618
Claremont School of Theology	21	34.1076	-117.7153
Thomas Aquinas College	42	34.429	-119.0871
Marinello Schools of Beauty-Lake Forest	21	33.6193	-117.7047
Epic Bible College	21	38.6456	-121.3629
United Education Institute-Huntington Park Campus	21	33.9861	-118.2262
Concorde Career College-San Bernardino	12	34.0672	-117.284
Universal College of Beauty Inc-Los Angeles 1	21	33.9594	-118.2921
Concorde Career College-North Hollywood	11	34.1865	-118.4038
Ventura College	12	34.277	-119.2307
Victor Valley Beauty College Inc	12	34.5286	-117.3039
Victor Valley College	12	34.4722	-117.2615
Berkeley City College	12	37.8705	-122.2698
Walden University	11	44.9788	-93.2612
Waynes College of Beauty	12	NULL	NULL
West Hills College-Coalinga	32	36.1479	-120.3567
West Los Angeles College	21	34.0056	-118.3876
West Valley College	21	37.2631	-122.0097
Carrington College California-Sacramento	21	38.5618	-121.3689
Westminster Theological Seminary in California	21	33.1214	-117.0464
Westmont College	22	34.4493	-119.6619
Whittier College	21	33.9776	-118.0284
Woodbury University	11	34.2092	-118.3407
The Wright Institute	12	37.8682	-122.2532
Western State College of Law at Argosy University	21	33.8807	-117.8903
Thomas Jefferson School of Law	11	32.7104	-117.1541
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary	11	34.0855	-118.3467
Yuba College	22	39.126	-121.5393
The Salon Professional Academy-Grand Junction	13	39.0782	-108.5076
Adams State University	33	37.4772	-105.8809
Aims Community College	13	40.409	-104.7643
Arapahoe Community College	21	39.6075	-105.0186
Bel-Rea Institute of Animal Technology	11	39.6861	-104.8753
Everest College-Colorado Springs	11	38.8071	-104.7403
University of Colorado Denver	11	39.7464	-104.9993
University of Colorado Colorado Springs	11	38.8927	-104.8003
Redstone College	13	39.9148	-105.1191
